# id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
7435143 62.90 1.30 6.16 0.13 11.987 4588
2696115 20.30 0.60 2.30 0.05 11.849 4414
9024483 32.40 1.50 3.93 0.08 11.898 4730
5599763 32.00 0.70 3.77 0.08 11.720 4450
9075872 156.40 3.20 13.24 0.28 11.889 4924
7671562 30.10 0.70 3.77 0.08 11.650 4660
7595155 29.90 1.20 3.76 0.09 11.840 4634
8088244 30.60 1.60 4.17 0.10 11.635 4861
9635603 32.20 0.70 4.13 0.10 11.686 4883
9072262 37.90 1.10 4.49 0.10 11.872 4686
3098045 34.50 0.70 4.13 0.09 11.825 4662
3323943 33.00 1.30 4.02 0.08 11.609 4592
8962844 41.40 1.10 4.46 0.10 11.738 4688
7670489 35.90 0.90 4.03 0.09 11.793 4625
2309469 27.90 0.60 3.48 0.08 11.611 4464
9702841 39.80 1.50 4.23 0.09 11.662 4583
3530520 35.20 2.00 3.90 0.08 11.974 4554
4995788 166.10 3.30 13.40 0.26 11.721 4654
8873797 30.60 1.20 3.83 0.08 11.908 4687
9589638 39.40 1.00 4.37 0.11 11.738 4714
9335457 237.00 6.00 17.79 0.35 11.919 4791
7352718 35.40 1.40 3.85 0.09 11.748 4696
3102479 39.50 1.00 4.25 0.11 11.801 4506
6505025 34.50 1.30 4.17 0.09 11.899 4615
6508328 38.00 0.90 4.27 0.09 11.686 4712
6431941 20.80 0.60 2.81 0.07 11.661 4485
7270142 52.60 1.50 5.42 0.11 11.692 4500
3631402 46.30 1.20 4.85 0.09 11.745 4682
3096473 36.20 1.60 4.16 0.12 11.848 4477
8611833 38.10 0.90 4.05 0.09 11.942 4856
2554924 34.00 0.80 3.94 0.08 11.727 4594
8415501 31.50 0.80 3.59 0.08 11.788 4611
7593843 34.20 1.60 4.14 0.09 11.643 4863
3847697 45.40 1.00 4.86 0.11 11.610 4525
5285357 32.40 1.90 4.05 0.10 11.634 4632
9656523 33.80 1.60 4.02 0.10 11.801 4591
3346501 20.90 0.60 2.69 0.06 11.836 4313
4057076 42.00 1.00 4.58 0.09 11.844 4708
4546625 34.10 0.90 4.09 0.09 11.610 4453
5517310 20.10 0.50 2.61 0.06 11.988 4496
9291976 31.40 0.80 3.93 0.08 11.614 4555
6264398 31.30 0.70 3.98 0.09 11.726 4830
4640537 34.20 0.90 4.04 0.10 11.818 4490
9658072 28.00 0.70 3.53 0.07 11.612 4392
4448636 33.80 0.80 3.97 0.10 11.783 4420
9024667 26.30 1.60 3.41 0.13 11.915 4604
3121940 27.80 1.00 3.73 0.08 11.940 4567
3838180 58.10 1.90 5.83 0.13 11.880 4523
8941202 34.00 0.80 4.11 0.10 11.764 4825
6939158 28.90 0.90 3.36 0.07 11.921 4461
8822878 36.50 1.50 4.10 0.09 11.751 4493
7949258 34.30 0.90 4.02 0.09 11.791 4517
9705636 33.50 0.70 3.99 0.09 11.631 4588
9159227 29.90 1.60 3.76 0.08 11.922 4478
4143460 39.60 1.20 4.23 0.09 11.685 4642
9333501 27.30 0.70 3.45 0.08 11.778 4594
9882550 36.70 0.90 4.30 0.09 11.791 4785
7672405 14.00 0.80 1.88 0.05 11.775 4565
6593623 38.00 0.80 4.15 0.08 11.608 4574
4249128 41.70 1.00 4.46 0.10 11.972 4509
8758700 30.90 0.70 3.92 0.08 11.855 4570
7591642 28.20 1.60 3.71 0.08 11.772 4657
3733028 179.80 3.50 13.11 0.26 11.731 4810
8547469 30.10 0.90 3.86 0.09 11.852 4741
9166023 18.50 0.60 2.40 0.05 11.754 4161
9818513 32.20 1.10 3.83 0.08 11.709 4626
9009805 49.70 1.10 5.20 0.11 11.879 4747
9958522 36.70 1.00 4.09 0.09 11.844 4657
6934780 26.70 1.10 3.68 0.10 11.882 4869
9456598 40.90 0.80 4.43 0.11 11.862 4621
9333184 32.50 1.00 4.02 0.09 11.655 4759
7103297 38.60 1.00 4.36 0.10 11.760 4716
8803432 31.90 0.70 3.98 0.09 11.963 4732
9716866 32.00 0.80 3.73 0.09 11.767 4491
6591336 24.50 0.60 2.91 0.07 11.640 4340
7108536 30.40 1.70 4.00 0.09 11.980 4765
4640930 180.00 8.00 13.38 0.30 11.940 4740
4818312 44.30 1.00 4.89 0.11 11.849 4610
9712510 33.40 1.10 3.72 0.08 11.887 4526
6854095 31.10 1.10 3.88 0.09 11.764 4853
6768042 22.90 1.10 2.96 0.06 11.829 4596
5857724 16.70 0.80 2.32 0.05 11.691 4220
9027245 49.30 1.10 5.36 0.12 11.883 4486
4902701 35.50 0.80 4.15 0.09 11.614 4467
