id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
1435467 6326 70.40 0.03 1407.00 7.35 8.880
2837475 6614 75.70 0.04 1558.00 8.70 8.480
3427720 6045 120.10 0.03 2737.00 14.20 9.110
3632418 6193 60.70 0.02 1167.00 3.40 8.220
3656476 5668 93.20 0.02 1925.00 6.65 9.520
3735871 6107 123.00 0.05 2863.00 21.55 9.710
4914923 5805 88.50 0.02 1817.00 5.75 9.460
5773345 6130 57.30 0.03 1101.00 6.15 9.160
5950854 5853 96.60 0.10 1927.00 21.15 10.960
6508366 6331 51.60 0.05 958.00 4.10 8.970
6603624 5674 110.10 0.01 2384.00 5.50 9.090
6933899 5832 72.10 0.02 1390.00 3.75 9.620
7103006 6344 59.70 0.03 1168.00 7.05 8.860
7106245 6068 111.40 0.06 2398.00 26.35 10.790
7206837 6305 79.10 0.04 1653.00 11.15 9.770
7296438 5775 88.70 0.04 1848.00 10.55 10.090
7680114 5811 85.10 0.04 1709.00 6.80 10.070
7771282 6248 72.50 0.07 1465.00 22.85 10.770
7871531 5501 151.30 0.02 3456.00 22.90 9.250
8150065 6173 89.30 0.13 1877.00 35.25 10.740
8179536 6343 95.10 0.06 2075.00 12.90 9.460
8228742 6122 62.10 0.02 1190.00 3.55 9.370
8394589 6143 109.50 0.03 2397.00 9.95 9.520
8424992 5719 120.60 0.06 2534.00 27.55 10.320
8694723 6246 75.10 0.02 1471.00 3.90 8.880
8938364 5677 85.70 0.02 1675.00 5.50 10.110
9025370 5270 132.60 0.03 2989.00 18.45 8.850
9098294 5852 108.90 0.02 2315.00 9.80 9.760
9139151 6302 117.30 0.03 2690.00 11.75 9.180
9139163 6400 81.20 0.04 1730.00 6.05 8.330
9206432 6538 84.90 0.05 1866.00 12.60 9.080
9353712 6278 51.50 0.10 934.00 9.70 10.840
9410862 6047 107.40 0.05 2279.00 23.90 10.710
9414417 6253 60.10 0.02 1155.00 5.35 9.580
9812850 6321 64.70 0.07 1255.00 8.05 9.470
9955598 5457 153.30 0.03 3617.00 25.40 9.440
9965715 5860 97.20 0.04 2079.00 9.80 9.340
10079226 5949 116.30 0.06 2653.00 46.00 10.070
10162436 6146 55.70 0.04 1052.00 4.10 8.610
10454113 6177 105.10 0.03 2357.00 8.65 8.620
10644253 6045 123.10 0.06 2900.00 22.05 9.160
10730618 6150 66.30 0.06 1282.00 13.65 10.450
10963065 6140 103.20 0.03 2204.00 6.50 8.770
11081729 6548 90.10 0.05 1968.00 11.80 9.030
11253226 6642 76.90 0.03 1591.00 8.70 8.440
11772920 5180 157.70 0.03 3675.00 45.60 9.660
12069127 6276 48.40 0.05 885.00 9.05 10.700
12317678 6580 63.50 0.02 1212.00 5.20 8.740
