id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
10907196 44.12 0.96 4.67 0.13 11.50 4885
10962775 35.12 0.86 4.11 0.09 11.44 4964
11231549 30.25 0.69 3.40 0.08 10.96 4619
11284760 34.53 0.89 4.10 0.08 12.03 4844
11072470 32.66 1.31 3.93 0.09 13.05 4721
11232325 60.45 1.49 5.92 0.13 12.20 4705
11339000 38.26 0.88 4.28 0.09 11.85 4938
11391750 85.77 1.96 7.95 0.19 12.60 4942
11126673 55.79 2.70 5.65 0.11 9.68 4731
11018710 53.34 1.12 5.39 0.13 11.50 4676
11180468 50.71 1.16 5.03 0.10 10.38 4732
11180994 68.85 2.01 6.51 0.13 12.29 4793
11287679 45.53 0.96 4.79 0.15 11.15 5066
11234625 34.41 0.73 4.17 0.08 11.53 4933
11287896 33.95 0.84 4.05 0.10 12.92 4853
11235672 73.61 1.57 5.93 0.14 8.87 4996
11181828 33.49 0.72 4.13 0.09 12.55 4906
11181891 33.87 1.46 4.11 0.09 12.72 4953
11128910 36.71 0.80 4.20 0.12 11.11 4921
11182706 38.90 1.04 4.42 0.10 12.66 4806
11342308 65.39 1.60 6.53 0.13 12.39 4900
11289335 35.94 0.82 4.17 0.09 11.65 4704
11342694 75.50 1.62 7.07 0.15 9.86 4603
11235816 33.93 1.64 4.15 0.10 12.45 4814
11129480 42.59 1.85 4.67 0.10 11.31 4838
11129945 51.03 1.51 4.91 0.12 11.67 4997
11289990 36.40 0.91 4.14 0.10 12.10 4843
11289822 72.40 1.70 6.75 0.13 10.70 4579
11289759 33.45 1.93 3.86 0.11 12.67 4784
11395816 32.75 0.78 4.05 0.08 12.04 4881
11342804 62.55 1.93 6.20 0.13 13.05 4791
10651578 32.78 0.82 4.12 0.11 11.78 4953
10847321 68.59 2.39 6.51 0.13 11.76 4760
10907410 78.60 1.76 6.99 0.14 12.08 4603
11018922 33.47 0.76 4.13 0.10 11.63 5061
10848618 33.23 0.87 4.05 0.12 10.57 4771
10964584 31.18 0.77 4.05 0.09 11.71 4985
10586902 45.16 2.68 5.07 0.11 12.01 4914
10587122 37.36 0.80 4.33 0.09 9.21 4704
10522084 45.76 1.28 4.72 0.10 9.25 4835
10652469 50.26 1.12 5.40 0.12 12.58 4761
10718491 48.88 1.12 4.93 0.11 11.38 4753
10653200 39.57 1.34 4.33 0.08 12.02 4951
10653383 41.36 1.17 4.42 0.10 10.94 4887
10587702 45.08 1.66 4.89 0.10 11.83 4670
11074543 56.87 1.25 5.95 0.13 11.79 4756
11019954 34.64 0.79 4.18 0.11 10.43 4853
10910541 30.27 0.81 3.87 0.12 12.25 4930
11075908 37.93 1.42 4.33 0.08 11.75 4896
10910674 36.02 1.43 4.05 0.08 11.15 4625
11654305 51.88 1.10 5.29 0.11 12.06 4788
11394905 39.08 0.93 4.33 0.11 11.37 4994
11395438 34.04 1.21 4.13 0.11 11.97 4838
11498298 42.21 1.07 4.49 0.09 10.59 4984
11704163 46.13 1.00 4.76 0.10 11.38 4784
11234897 61.32 2.99 5.15 0.09 9.27 4987
11287936 51.37 1.16 5.32 0.10 10.59 4748
11446151 33.16 1.55 4.26 0.17 12.43 4859
11653073 37.26 0.75 4.26 0.09 11.39 4938
11601529 33.27 1.35 3.67 0.08 12.63 4626
11498101 37.76 0.89 4.12 0.10 12.86 4806
11498043 33.65 1.28 4.00 0.18 12.78 4970
11601378 36.18 1.26 4.29 0.08 12.31 4840
11497421 30.56 1.51 3.71 0.17 12.22 4836
11702195 50.86 1.21 5.59 0.13 10.64 4708
11600208 30.68 1.33 4.13 0.09 11.41 5010
11496569 66.35 1.48 6.16 0.14 9.44 4857
11444313 33.34 0.85 4.01 0.09 11.31 4888
11649294 33.96 1.39 4.14 0.09 10.02 4785
11598312 46.68 1.14 4.85 0.12 9.99 4982
11494312 37.99 1.18 4.27 0.10 11.26 4840
11441797 56.59 1.37 5.81 0.12 11.16 4797
11494169 40.23 1.00 4.25 0.11 12.70 4814
11177727 31.83 0.74 3.74 0.09 11.52 4657
11337714 38.84 1.49 4.14 0.11 10.08 4748
11230630 30.05 0.85 3.90 0.12 11.98 4946
11955410 33.30 0.75 4.07 0.09 10.87 4867
11905997 65.37 2.02 6.52 0.14 12.76 4807
11805460 37.08 1.01 4.21 0.08 11.00 4752
11805792 35.09 0.81 4.14 0.09 11.75 4926
11855110 37.74 0.89 4.34 0.09 11.70 4970
11754056 33.91 0.89 4.21 0.11 11.75 4737
11703230 33.16 1.11 4.03 0.09 11.25 4920
11753722 47.35 0.93 5.25 0.12 11.88 4671
12101990 30.36 0.69 4.01 0.10 12.11 4845
11905393 32.83 0.97 4.09 0.11 12.36 4823
11854450 30.76 0.95 4.12 0.10 12.11 4939
