id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
4672904 4642 6.05 0.13 57.63 1.26 12.219
4480358 4210 1.52 0.04 8.97 0.46 11.631
4578488 4502 5.32 0.11 47.95 1.00 11.835
4479314 4339 2.25 0.05 19.70 0.55 11.315
4575420 4574 6.02 0.11 64.00 1.72 13.127
4571962 4091 1.12 0.03 7.38 0.28 12.015
4844527 4694 3.84 0.22 30.12 1.99 13.746
4662188 4328 2.15 0.05 15.91 0.53 12.054
4570120 5019 7.27 0.14 88.61 2.45 11.642
4659706 4530 3.70 0.08 36.84 1.63 9.938
4269391 4527 4.09 0.09 37.69 2.23 10.966
4164910 4671 4.35 0.08 38.25 2.25 11.027
5288607 4818 5.71 0.11 61.28 2.57 10.985
5112974 4399 4.34 0.09 40.26 0.96 12.693
5112880 4387 2.78 0.06 26.92 1.02 12.286
5113041 4424 3.97 0.08 37.67 0.96 12.858
5112373 4635 4.65 0.09 44.43 0.98 12.806
5112730 4604 4.56 0.09 44.02 1.00 12.778
5199906 4721 5.87 0.12 71.25 2.00 12.090
5024143 4662 9.61 0.17 119.68 3.41 13.731
5023889 4454 5.34 0.10 54.42 1.26 12.010
5024043 4592 5.60 0.11 55.49 1.17 12.791
5285357 4632 4.05 0.10 32.38 1.94 11.634
5457811 4313 3.54 0.08 31.44 0.68 10.739
5196152 4634 7.32 0.16 79.17 3.39 11.590
4933594 4479 4.09 0.08 34.16 1.40 11.592
5282875 4880 4.69 0.10 45.90 2.30 10.712
5371626 4346 2.50 0.06 20.32 0.68 10.425
5283958 4869 5.11 0.13 54.60 1.24 11.576
4930464 4576 4.54 0.12 43.29 0.90 13.309
9517003 4419 1.35 0.04 8.14 0.57 11.843
9760904 4943 3.81 0.19 30.57 1.05 10.517
9700899 4784 3.91 0.10 33.86 1.23 11.546
9821622 4879 5.91 0.19 63.72 1.49 12.021
9761625 4421 1.40 0.04 9.27 0.23 11.490
9821783 4878 4.13 0.09 35.00 1.02 10.416
9881628 4726 3.90 0.09 28.16 0.98 11.241
9456153 4994 4.14 0.10 33.52 0.71 11.244
9517542 4496 2.70 0.06 20.43 0.61 10.004
9882766 4942 12.97 0.24 167.64 3.94 11.946
9882550 4785 4.30 0.09 36.74 0.90 11.791
9883123 4901 8.21 0.15 93.44 2.36 11.044
9702057 4651 3.55 0.08 27.77 0.90 11.272
9883214 4726 3.77 0.11 28.64 1.53 11.324
9762752 4525 3.84 0.09 36.08 1.55 12.476
9641246 4621 4.20 0.09 36.80 0.81 11.721
9579860 4595 5.91 0.12 54.82 1.06 11.576
9640886 4347 3.95 0.08 34.79 0.78 11.016
9518506 4734 4.97 0.10 48.84 1.33 10.648
9580171 4359 2.88 0.06 22.06 0.57 11.149
9580407 4688 3.99 0.12 29.80 1.27 12.278
9641772 4725 4.09 0.08 35.04 0.85 10.995
9518802 5187 7.18 0.17 92.00 2.72 9.207
9641484 4717 4.10 0.08 36.16 0.82 10.801
9580991 4926 5.66 0.12 61.99 1.58 11.654
9763419 4717 4.03 0.08 33.39 0.93 11.554
9702841 4583 4.23 0.09 39.76 1.49 11.662
9763796 4957 12.32 0.23 145.76 3.20 11.855
9824971 4680 3.14 0.07 22.63 1.20 12.019
9581445 4796 5.71 0.13 61.44 1.36 11.782
9704258 4762 5.80 0.17 52.95 1.17 12.111
9764708 4751 3.34 0.07 31.59 0.74 9.837
9825039 5058 8.44 0.17 101.89 2.99 10.638
9704676 4587 4.39 0.12 40.38 0.94 12.218
9644558 4930 2.97 1.06 28.99 1.39 11.446
9583430 4908 7.75 0.15 99.73 2.46 11.600
9946773 5058 2.79 1.18 29.78 2.04 11.490
9705636 4588 3.99 0.09 33.45 0.67 11.631
9705687 5342 6.48 0.13 74.32 1.69 9.582
9825822 4224 1.09 0.03 6.25 0.48 10.753
9704774 4679 4.06 0.09 35.08 1.39 11.583
9886274 4633 4.70 0.12 42.07 0.95 12.107
9645099 4850 3.86 0.11 30.28 0.74 12.384
9583720 4694 5.66 0.15 55.11 2.17 11.570
9706194 4495 3.26 0.08 26.72 0.81 11.601
9706585 4832 3.99 0.09 29.98 1.49 11.416
9767332 5013 8.60 0.18 113.16 2.67 11.670
9887199 4737 4.25 0.09 36.97 0.91 12.221
9766517 4688 4.87 0.11 47.03 1.24 12.253
9887488 4632 4.06 0.08 33.36 1.71 12.374
9887555 4780 3.90 0.08 28.11 0.90 12.341
9145861 4743 10.74 0.19 133.32 2.63 12.057
9145781 4948 17.58 0.62 242.05 5.93 11.760
9145952 4674 4.05 0.08 33.64 0.78 11.592
9209471 4489 3.34 0.07 25.96 0.71 12.176
