id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
8394589 2397 0.00 109.50 0.00 9.52 6143.000
12069127 885 0.00 48.40 0.00 10.70 6276.000
6508366 958 0.00 51.60 0.00 8.97 6331.000
11772920 3675 0.00 157.70 0.00 9.66 5180.000
3632418 1167 0.00 60.70 0.00 8.22 6193.000
5773345 1101 0.00 57.30 0.00 9.16 6130.000
9098294 2315 0.00 108.90 0.00 9.76 5852.000
11253226 1591 0.00 76.90 0.00 8.44 6642.000
6603624 2384 0.00 110.10 0.00 9.09 5674.000
9139163 1730 0.00 81.20 0.00 8.33 6400.000
7103006 1168 0.00 59.70 0.00 8.86 6344.000
10730618 1282 0.00 66.30 0.00 10.45 6150.000
4914923 1817 0.00 88.50 0.00 9.46 5805.000
7206837 1653 0.00 79.10 0.00 9.77 6305.000
7871531 3456 0.00 151.30 0.00 9.25 5501.000
7771282 1465 0.00 72.50 0.00 10.77 6248.000
3427720 2737 0.00 120.10 0.00 9.11 6045.000
